"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MODEL1";"MODEL2";"MPN";"OC_FARNELL";"OC_NEWARK";
"1";"";"MMA7660FC-DFN10";"DFN10";"MMA7660FC";"http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=MMA7660FCT-ND";"";"";"";"";"";"";
"2";"0.1";"CAP0603-CAP";"0603-CAP";"C1, C4";"Capacitor";"";"";"";"";"";"";
"1";"0.1uF";"CAP0805";"0805";"C11";"Capacitor";"";"";"";"";"";"";
"1";"10k";"RESISTOR0603-RES";"0603-RES";"R1";"Resistor";"";"";"";"";"";"";
"1";"10k 0.1%";"RESISTOR";"0805";"R9";"Resistor";"";"";"";"";"";"";
"2";"10u";"CAP0805-CAP";"0805-CAP";"C3, C8";"Capacitor";"";"";"";"";"";"";
"1";"16 MHz";"RESONATORSMD";"RESONATOR-SMD";"X1";"Resonator";"";"";"";"";"";"";
"1";"1M 0.1%";"RESISTOR";"0805";"R10";"Resistor";"";"";"";"";"";"";
"1";"1k5";"RESISTOR0603-RES";"0603-RES";"R2";"Resistor";"";"";"";"";"";"";
"1";"1nF";"CAP0805";"0805";"C6";"Capacitor";"";"";"";"";"";"";
"2";"1u";"CAP0603-CAP";"0603-CAP";"C2, C7";"Capacitor";"";"";"";"";"";"";
"1";"4.7k 0.1%";"RESISTOR";"0805";"R8";"Resistor";"";"";"";"";"";"";
"1";"82k 0.1%";"RESISTOR";"0805";"R11";"Resistor";"";"";"";"";"";"";
"1";"ACS712";"ACS712";"SO08";"U$6";"";"";"";"";"";"";"";
"1";"AT25F512BWIDE_5.3MM";"AT25F512BWIDE_5.3MM";"SO08WIDE";"W25X40CLSNIG-ND";"4-Mbit SPI flash memory";"";"";"";"";"";"";
"1";"ATMega-328";"ATMEGA168/328TQFP32";"TQFP32-08";"ATMEGA328";"Atmel 32-pin 8-bit micro, 16k flash.";"";"";"";"";"";"";
"1";"FTDI";"M06SIP";"1X06";"FTDI";"Header 6";"";"";"";"";"";"";
"1";"FUSETE5";"FUSETE5";"TE5";"F1";"Fuse";"";"";"";"";"unknown";"unknown";
"1";"LDO-5V-0.5A";"LDO-5V-0.5A";"SOT223";"IC1";"500mA Low Dropout (LDO) Positive Regulator";"";"uA78M00";"SPX2945M3";"";"";"";
"1";"LED0603";"LED0603";"0603-LED";"U$2";"";"";"";"";"";"";"";
"5";"M01PTH";"M01PTH";"1X01";"+, JP1, OUT1, SEN, THROTTLE";"Header 1";"";"";"";"";"";"";
"2";"M01PTH_2MM";"M01PTH_2MM";"1X01_2MM";"+1, +2";"Header 1";"";"";"";"";"";"";
"1";"MCP1703CB";"MCP1703CB";"SOT23";"IC3";"250 mA, 16V, Low Quiescent Current LDO Regulator";"";"";"";"";"";"";
"1";"RFM12B_ANTENNA";"RFM12B_ANTENNA";"RFM12B-ANTENNA";"U$1";"";"";"";"";"";"";"";
"1";"RFM12B_MINPADS";"RFM12B_MINPADS";"RFM12B-MINPADS";"RFM12B";"";"";"";"";"";"";"";
